ENST00000558583 ENST00000310613 	ENST00000334567 ENST00000586722 ENST00000458297 ENST00000550977 ENST00000522378 ENST00000397418 	6104 3202 	1023 1377 1295 1617 2226 2226 	6117 3215 	1023 1377 1295 1617 2226 2226 	40 40 	53 53 53 53 53 53 
ENST00000587223 ENST00000503706 ENST00000480262 ENST00000439473 ENST00000438364 ENST00000411491 ENST00000312132 ENST00000446373 	ENST00000550121 ENST00000547586 	50 33 26 1726 1582 1671 2019 1784 	412 382 	52 35 28 1728 1584 1673 2021 1786 	412 382 	39 39 39 39 39 39 39 39 	32 32 
ENST00000266688 	ENST00000538183 	852 	8959 	852 	8959 	42 	33 
ENST00000570780 ENST00000391950 	ENST00000441206 	1094 1111 	174 	1094 1111 	174 	52 52 	53 
ENST00000321826 	ENST00000590158 	1631 	918 	1631 	918 	40 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3437 	828 361 384 379 385 386 384 361 	3437 	828 361 384 379 385 386 384 361 	53 	53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	3480 	815 348 371 366 372 373 571 371 371 348 	3481 	815 348 371 366 372 373 571 371 371 348 	52 	53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	98 96 238 	3744 	98 96 238 	53 	53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	3001 2902 2656 	176 305 	3001 2902 2656 	176 305 	53 53 53 	53 53 
ENST00000601871 	ENST00000380320 	219 	729 	219 	729 	52 	52 
ENST00000425012 	ENST00000603798 ENST00000380103 ENST00000398453 ENST00000603864 ENST00000605627 ENST00000605426 ENST00000603838 ENST00000604188 	812 	723 211 228 721 137 510 464 214 	812 	723 211 228 721 137 510 464 214 	53 	51 51 51 51 51 51 51 51 
ENST00000549558 	ENST00000547666 	2150 	1119 	2150 	1119 	52 	53 
ENST00000519846 ENST00000518592 ENST00000325897 ENST00000518858 	ENST00000466509 	2599 1839 2445 2384 	629 	2599 1839 2445 2384 	632 	52 52 52 52 	43 
ENST00000463943 	ENST00000335179 ENST00000545072 	363 	79 22 	365 	79 22 	51 	51 51 
ENST00000298281 	ENST00000373816 	7371 	2413 	7371 	2413 	53 	52 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1091 1108 	217 255 	1091 1108 	217 255 	50 50 	51 51 
ENST00000570983 ENST00000524883 ENST00000574118 ENST00000312675 ENST00000543006 ENST00000377424 ENST00000527278 ENST00000411857 	ENST00000498691 	1039 79 864 7746 7689 2523 977 2312 	186 	1060 100 885 7767 7710 2544 998 2333 	193 	32 32 32 32 32 32 32 32 	46 
ENST00000449131 	ENST00000530019 ENST00000534719 ENST00000533138 ENST00000529548 ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	3470 	319 274 301 295 113 111 313 113 113 	3470 	319 274 301 295 113 111 313 113 113 	51 	53 53 53 53 53 53 53 53 53 
ENST00000601871 	ENST00000484412 ENST00000442730 ENST00000494862 	1473 	564 601 295 	1473 	564 601 295 	53 	53 53 53 
ENST00000309955 ENST00000544076 	ENST00000584196 ENST00000582966 	3750 1451 	1744 1744 	3755 1456 	1744 1744 	48 48 	38 38 
ENST00000592379 	ENST00000582736 	15 	105 	15 	105 	31 	46 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3753 	82 80 222 219 	3753 	82 80 222 219 	52 	53 53 53 53 
ENST00000481013 	ENST00000475892 ENST00000472948 ENST00000469488 ENST00000356185 ENST00000350612 ENST00000473871 	378 	2678 460 1156 2524 2582 1874 	378 	2678 460 1156 2524 2582 1874 	53 	53 53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	97 95 237 	3759 	97 95 237 	52 	53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	165 124 	484 	165 124 	53 	51 51 
ENST00000427908 	ENST00000567272 ENST00000403549 	1285 	596 444 	1285 	596 444 	51 	53 53 
ENST00000379031 ENST00000493657 	ENST00000532772 	1234 1731 	1457 	1234 1731 	1457 	52 52 	51 
ENST00000463943 	ENST00000335179 ENST00000545072 	389 	80 23 	389 	80 23 	53 	50 50 
ENST00000449131 	ENST00000296674 ENST00000510210 ENST00000512493 ENST00000510019 ENST00000507980 ENST00000511844 	4190 	252 16 26 71 29 30 	4190 	252 16 26 71 29 30 	53 	52 52 52 52 52 52 
ENST00000314675 	ENST00000270792 ENST00000319041 	2062 	1344 523 	2062 	1344 523 	53 	53 53 
ENST00000514253 	ENST00000511844 	494 	142 	494 	142 	53 	51 
ENST00000475268 ENST00000495368 	ENST00000378940 ENST00000378927 ENST00000498825 	1327 1455 	502 455 72 	1339 1467 	502 455 72 	41 41 	53 53 53 
ENST00000533285 	ENST00000450670 ENST00000481617 	830 	258 2257 	839 	258 2257 	39 	34 34 
ENST00000476192 ENST00000355520 ENST00000497426 ENST00000474698 	ENST00000392385 ENST00000409562 ENST00000604604 ENST00000392857 ENST00000295025 	4580 7367 4580 4579 	1095 2866 1219 5439 8845 	4580 7367 4580 4579 	1114 2885 1238 5458 8864 	53 53 53 53 	32 32 32 32 32 
ENST00000358869 ENST00000418385 	ENST00000216484 	2469 76 	3470 	2469 76 	3470 	32 32 	52 
ENST00000495617 	ENST00000439822 	297 	1135 	297 	1135 	53 	53 
ENST00000329021 ENST00000373191 	ENST00000366111 	3727 4952 	61 	3727 4952 	61 	41 41 	53 
ENST00000538183 ENST00000558583 	ENST00000508075 ENST00000469632 ENST00000566753 	7497 6080 	568 675 1647 	7497 6080 	577 684 1656 	51 51 	43 43 43 
ENST00000257904 	ENST00000546922 	1739 	704 	1739 	704 	53 	52 
ENST00000319545 ENST00000040663 	ENST00000381496 	1425 1549 	3618 	1432 1556 	3618 	31 31 	53 
ENST00000265810 	ENST00000319545 	2517 	2289 	2529 	2289 	32 	49 
ENST00000266659 	ENST00000438169 ENST00000551070 	1812 	803 522 	1812 	803 522 	53 	53 53 
ENST00000530332 	ENST00000525266 ENST00000325217 ENST00000532051 ENST00000529819 ENST00000528130 	948 	279 311 436 301 229 	949 	279 311 436 301 229 	50 	53 53 53 53 53 
ENST00000592379 	ENST00000582736 	13 	98 	13 	100 	53 	51 
ENST00000397488 ENST00000324385 ENST00000566162 ENST00000397489 	ENST00000566296 	4522 4617 638 4520 	578 	4522 4617 638 4520 	578 	53 53 53 53 	51 
ENST00000570780 ENST00000391950 	ENST00000520547 	1109 1126 	293 	1110 1127 	293 	52 52 	52 
ENST00000486231 ENST00000592072 ENST00000470617 	ENST00000440963 ENST00000458117 ENST00000477116 ENST00000476323 ENST00000557079 	121 1225 500 	504 688 813 665 535 	121 1225 500 	504 688 813 665 535 	52 52 52 	53 53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	473 	149 108 	473 	149 108 	53 	53 53 
ENST00000310613 ENST00000474698 ENST00000550534 ENST00000550321 	ENST00000469632 	3236 5045 746 734 	677 	3236 5045 746 734 	677 	53 53 53 53 	53 
ENST00000592379 	ENST00000582736 ENST00000475608 	40 	51 36 	40 	51 36 	53 	52 52 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000585891 	1952 1547 1955 	31 	1952 1547 1955 	31 	53 53 53 	50 
ENST00000463943 	ENST00000222005 ENST00000593124 ENST00000589755 	286 	518 945 380 	286 	518 945 380 	53 	52 52 52 
ENST00000525054 	ENST00000335185 	509 	3750 	509 	3750 	47 	53 
ENST00000413218 	ENST00000441969 ENST00000353836 ENST00000442846 ENST00000357375 ENST00000432469 ENST00000356298 	90 	2253 2594 1928 2545 2345 2483 	91 	2265 2606 1940 2557 2357 2495 	31 	31 31 31 31 31 31 
ENST00000319080 ENST00000474037 ENST00000467003 	ENST00000366394 	5696 3769 3728 	132 	5696 3769 3728 	143 	38 38 38 	31 
ENST00000595369 	ENST00000324461 ENST00000586976 ENST00000590950 ENST00000593268 ENST00000588967 ENST00000593164 ENST00000310738 	2395 	514 454 260 367 178 239 239 	2405 	514 454 260 367 178 239 239 	43 	53 53 53 53 53 53 53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4152 	87 89 	4152 	87 89 	49 	53 53 
ENST00000392869 	ENST00000415136 	6997 	1510 	6997 	1510 	53 	51 
ENST00000361681 	ENST00000361567 	360 	1729 	360 	1729 	52 	52 
ENST00000556794 	ENST00000540593 ENST00000541357 ENST00000556179 	1217 	1545 1127 1147 	1217 	1545 1127 1147 	51 	53 53 53 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4141 	113 111 313 113 113 	4142 	113 111 313 113 113 	52 	53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	96 94 236 	3744 	96 94 236 	53 	53 53 53 
ENST00000473414 	ENST00000261438 	916 	3076 	916 	3076 	32 	53 
ENST00000454671 	ENST00000507437 	472 	532 	475 	532 	50 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3406 	797 330 348 214 212 353 385 353 330 	3406 	797 330 348 214 212 353 385 353 330 	53 	50 50 50 50 50 50 50 50 50 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3416 	813 346 369 364 370 371 369 401 369 346 	3416 	813 346 369 364 370 371 369 401 369 346 	52 	52 52 52 52 52 52 52 52 52 52 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 	284 215 	167 177 222 	284 215 	167 177 222 	53 53 	52 52 52 
ENST00000555870 ENST00000566753 	ENST00000538183 	5280 646 	8580 	5284 650 	8601 	44 44 	32 
ENST00000529146 ENST00000340537 ENST00000431227 ENST00000534187 ENST00000448228 ENST00000533852 ENST00000346333 ENST00000510443 ENST00000359244 ENST00000458008 ENST00000427587 ENST00000585436 ENST00000497543 ENST00000484945 ENST00000459803 ENST00000313946 	ENST00000340333 ENST00000450217 ENST00000515248 ENST00000533887 ENST00000482043 	1612 1501 1762 1622 1805 1857 1409 1489 1507 1668 1790 1466 1538 1632 1825 2061 	453 522 564 569 580 	1612 1501 1762 1622 1805 1857 1409 1489 1507 1668 1790 1466 1538 1632 1825 2061 	453 522 564 569 580 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 53 
ENST00000483793 	ENST00000527261 ENST00000532250 ENST00000295663 	3332 	453 190 2 	3339 	453 190 2 	46 	48 48 48 
ENST00000372420 ENST00000372431 ENST00000354050 ENST00000477313 ENST00000542937 	ENST00000372459 	1475 1688 1537 2203 2203 	1842 	1475 1688 1537 2203 2203 	1842 	52 52 52 52 52 	53 
ENST00000467457 ENST00000484831 	ENST00000452875 	1437 1625 	3850 	1437 1625 	3850 	53 53 	51 
ENST00000508814 	ENST00000510210 ENST00000512493 	280 	237 247 	280 	237 247 	53 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3369 	812 345 368 363 369 370 368 400 368 345 	3369 	812 345 368 363 369 370 368 400 368 345 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000585891 	1953 1548 1956 	1 	1953 1548 1956 	1 	53 53 53 	52 
ENST00000492999 ENST00000486695 ENST00000467671 	ENST00000483598 ENST00000424633 ENST00000454660 ENST00000432393 ENST00000599500 	73 73 73 	120 239 239 239 239 	73 73 73 	120 239 239 239 239 	53 53 53 	52 52 52 52 52 
ENST00000361681 	ENST00000361567 	478 	1652 	478 	1652 	47 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	362 	82 25 	363 	82 25 	52 	51 51 
ENST00000592379 	ENST00000437246 	73 	79 	73 	79 	53 	53 
ENST00000367025 ENST00000367026 ENST00000367024 ENST00000477431 ENST00000480569 ENST00000471368 ENST00000460314 ENST00000010338 	ENST00000294811 	2146 1956 2242 696 362 449 2512 1666 	1544 	2146 1956 2242 696 362 449 2512 1666 	1544 	52 52 52 52 52 52 52 52 	32 
ENST00000442152 ENST00000553121 ENST00000553147 ENST00000568900 ENST00000453831 ENST00000551168 ENST00000546461 ENST00000433028 ENST00000417894 ENST00000550401 ENST00000550821 ENST00000229729 ENST00000375562 ENST00000544672 ENST00000472855 ENST00000383379 ENST00000549677 ENST00000547684 ENST00000378847 ENST00000585058 ENST00000425238 ENST00000549663 ENST00000548188 ENST00000608676 ENST00000415517 ENST00000547493 ENST00000547288 	ENST00000310611 ENST00000430195 	2429 2348 2477 1782 2429 2348 2477 719 2429 2348 2477 2429 2348 2477 1505 2429 2348 2477 5606 5066 2429 2348 2477 2852 2429 2348 2477 	3880 3941 	2429 2348 2477 1782 2429 2348 2477 719 2429 2348 2477 2429 2348 2477 1505 2429 2348 2477 5606 5066 2429 2348 2477 2852 2429 2348 2477 	3880 3941 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 
ENST00000592379 	ENST00000582736 	39 	104 	40 	104 	52 	47 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1116 1133 	307 258 	1116 1133 	307 258 	53 53 	52 52 
ENST00000511544 ENST00000515124 ENST00000503658 ENST00000438599 	ENST00000591510 	675 548 587 744 	90 	675 548 587 744 	90 	39 39 39 39 	53 
ENST00000577487 ENST00000579701 ENST00000582765 ENST00000597300 	ENST00000445552 ENST00000329240 ENST00000337845 	409 224 224 224 	367 390 685 	409 224 224 224 	367 390 685 	43 43 43 43 	53 53 53 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4132 	113 111 313 113 113 	4132 	113 111 313 113 113 	53 	53 53 53 53 53 
ENST00000570820 	ENST00000503687 ENST00000380828 ENST00000510829 ENST00000451741 ENST00000607882 ENST00000450873 ENST00000284957 ENST00000439720 ENST00000484547 ENST00000461017 ENST00000437078 	149 	1771 1287 1167 1285 1813 1285 1090 1219 1267 420 1211 	162 	1771 1287 1167 1285 1813 1285 1090 1219 1267 420 1211 	40 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000459648 ENST00000565289 ENST00000593570 ENST00000378230 ENST00000373204 ENST00000450876 	ENST00000522324 	340 866 131 5896 11712 866 	1033 	340 866 131 5896 11712 866 	1033 	32 32 32 32 32 32 	39 
ENST00000459648 ENST00000565289 ENST00000593570 ENST00000378230 ENST00000373204 ENST00000450876 	ENST00000522324 	340 866 131 5896 11712 866 	1033 	340 866 131 5896 11712 866 	1033 	32 32 32 32 32 32 	39 
ENST00000449131 	ENST00000424100 	3470 	43 	3474 	57 	47 	34 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	75 73 215 	3744 	75 73 215 	53 	52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3477 	829 362 385 380 386 387 385 362 	3477 	829 362 385 380 386 387 385 362 	53 	53 53 53 53 53 53 53 53 
ENST00000560723 	ENST00000559556 	428 	802 	428 	802 	53 	53 
ENST00000449131 	ENST00000394123 	3760 	4318 	3764 	4318 	48 	53 
ENST00000596678 ENST00000431149 ENST00000414755 	ENST00000482983 	439 421 62 	316 	439 421 62 	316 	53 53 53 	50 
ENST00000514253 	ENST00000510019 ENST00000511844 	444 	101 60 	444 	101 60 	53 	53 53 
ENST00000261464 ENST00000473385 ENST00000336184 	ENST00000549216 ENST00000313956 	2933 2613 2939 	2031 2038 	2934 2614 2940 	2051 2058 	38 38 38 	32 32 
ENST00000427908 	ENST00000436998 ENST00000425312 ENST00000567272 ENST00000403549 	1813 	299 299 451 299 	1813 	299 299 451 299 	51 	53 53 53 53 
ENST00000542698 	ENST00000424629 ENST00000302851 	519 	3564 3844 	519 	3568 3848 	53 	49 49 
ENST00000601871 	ENST00000484412 ENST00000442730 ENST00000494862 	1473 	564 601 295 	1473 	564 601 295 	53 	53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3746 	103 101 243 	3746 	103 101 243 	53 	52 52 52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3746 	103 101 243 	3746 	103 101 243 	53 	52 52 52 
ENST00000524124 ENST00000357668 	ENST00000216281 ENST00000334701 ENST00000554401 ENST00000553585 ENST00000555662 ENST00000441629 	4825 5392 	807 1249 187 453 348 187 	4830 5397 	807 1249 187 453 348 187 	33 33 	53 53 53 53 53 53 
ENST00000271375 	ENST00000555870 	7185 	4186 	7199 	4186 	39 	46 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000585891 	1945 1540 1948 	1 	1946 1541 1949 	1 	51 51 51 	52 
ENST00000508814 ENST00000514253 	ENST00000510019 	293 224 	231 	293 224 	231 	53 53 	52 
ENST00000295269 ENST00000355520 ENST00000261200 	ENST00000557060 ENST00000551944 ENST00000493254 ENST00000604604 	3863 7043 6638 	2962 3506 2443 1479 	3863 7043 6638 	2962 3506 2443 1479 	48 48 48 	53 53 53 53 
ENST00000311936 	ENST00000556402 	5688 	778 	5688 	778 	53 	52 
ENST00000320934 	ENST00000529622 	4577 	394 	4577 	394 	52 	52 
ENST00000380615 ENST00000218075 ENST00000443437 ENST00000523629 ENST00000396218 ENST00000265814 ENST00000423218 ENST00000315757 ENST00000440097 ENST00000375710 ENST00000559153 ENST00000559291 ENST00000358005 ENST00000416810 ENST00000418132 ENST00000264645 ENST00000394072 ENST00000254051 ENST00000407847 ENST00000563727 ENST00000514871 ENST00000342056 ENST00000370398 ENST00000355194 ENST00000374798 ENST00000487798 ENST00000352511 ENST00000561679 ENST00000568563 ENST00000569349 ENST00000561621 ENST00000290881 ENST00000341901 ENST00000392378 ENST00000358186 ENST00000392379 ENST00000452796 ENST00000342350 	ENST00000331595 ENST00000472615 ENST00000480756 ENST00000594173 ENST00000599593 ENST00000602170 	4198 2296 2265 3045 2920 2674 4610 4598 456 704 574 588 836 656 57 52 1573 3466 6 1886 1986 5421 5075 5313 1457 1424 11411 2308 1461 2219 2984 3034 2326 2567 2442 2658 1045 1034 	1829 1660 1713 1829 1660 1713 	4198 2300 2269 3045 2920 2674 4610 4598 456 704 574 588 836 656 57 52 1573 3466 6 1888 1988 5421 5075 5313 1457 1424 11411 2308 1461 2219 2984 3034 2326 2567 2442 2658 1045 1034 	1829 1660 1713 1829 1660 1713 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	278 	223 233 	278 	223 233 	49 	53 53 
ENST00000321826 	ENST00000590158 	1611 	930 	1611 	930 	53 	51 
ENST00000295065 ENST00000549235 ENST00000556292 ENST00000489047 	ENST00000301981 ENST00000422163 ENST00000318636 ENST00000359193 ENST00000526829 ENST00000499676 ENST00000328914 ENST00000602163 ENST00000374395 ENST00000471841 ENST00000429989 ENST00000358677 ENST00000309424 ENST00000307602 ENST00000574039 ENST00000354333 ENST00000380698 ENST00000475182 ENST00000366522 ENST00000408893 ENST00000477859 ENST00000461251 ENST00000370272 ENST00000485344 ENST00000392690 ENST00000509563 ENST00000313552 ENST00000366429 ENST00000451634 ENST00000295030 ENST00000609217 ENST00000596751 	3501 264 307 3148 	2368 388 4362 1627 425 5316 7936 1087 4232 4774 6532 5639 2477 5593 388 686 1737 1379 4996 1882 4720 2083 5569 1394 3020 393 2578 1081 972 3165 686 560 	3501 264 307 3148 	2368 388 4362 1627 425 5316 7936 1087 4232 4774 6532 5639 2477 5593 388 686 1737 1379 4996 1882 4720 2083 5569 1394 3020 393 2578 1081 972 3165 686 560 	53 53 53 53 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 
ENST00000375587 	ENST00000302291 ENST00000314174 ENST00000471849 ENST00000475164 ENST00000418342 ENST00000374623 	3397 	766 135 335 470 363 192 	3397 	766 135 335 470 363 192 	53 	51 51 51 51 51 51 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3753 	72 70 212 	3753 	72 70 212 	52 	52 52 52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2166 2067 1821 	218 	2166 2067 1821 	218 	53 53 53 	53 
ENST00000409887 	ENST00000175091 	3081 	1450 	3081 	1450 	53 	53 
ENST00000508814 	ENST00000510019 	311 	240 	311 	240 	53 	53 
ENST00000592379 	ENST00000582736 	32 	83 	32 	83 	53 	53 
ENST00000526743 	ENST00000526711 	1106 	802 	1106 	802 	53 	53 
ENST00000416938 	ENST00000487115 	2745 	153 	2745 	153 	53 	53 
ENST00000429395 ENST00000424994 ENST00000426591 ENST00000552867 ENST00000441688 ENST00000418552 ENST00000546690 ENST00000441867 ENST00000423030 	ENST00000313077 ENST00000560848 ENST00000435939 ENST00000558826 ENST00000561296 	236 236 236 276 236 236 276 236 236 	2395 2461 1279 663 394 	236 236 236 276 236 236 276 236 236 	2395 2461 1279 663 394 	52 52 52 52 52 52 52 52 52 	51 51 51 51 51 
ENST00000592379 	ENST00000582736 	40 	83 	40 	83 	53 	53 
ENST00000418543 ENST00000546754 ENST00000548381 ENST00000553179 	ENST00000597961 	243 241 229 213 	-4 	243 241 229 213 	8 	53 53 53 53 	40 
ENST00000306888 	ENST00000507206 	3636 	213 	3636 	213 	53 	53 
ENST00000591745 ENST00000495526 	ENST00000222219 	298 2668 	1518 	313 2683 	1520 	38 38 	50 
ENST00000521035 	ENST00000398558 ENST00000589157 	241 	1506 491 	241 	1506 491 	34 	52 52 
ENST00000321945 ENST00000475656 	ENST00000455300 ENST00000557200 ENST00000597201 	2602 2457 	298 305 298 	2602 2457 	298 305 298 	52 52 	53 53 53 
ENST00000393461 	ENST00000549235 ENST00000556292 ENST00000388718 ENST00000369936 ENST00000462228 ENST00000369238 ENST00000489074 ENST00000510256 	1141 	187 230 8393 2760 78 3748 464 464 	1141 	206 249 8412 2779 97 3767 483 483 	37 	34 34 34 34 34 34 34 34 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4149 	113 111 313 113 113 	4149 	113 111 313 113 113 	52 	53 53 53 53 53 
ENST00000592379 	ENST00000582736 	8 	111 	8 	111 	53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	84 27 	376 	84 27 	44 	53 53 
ENST00000361681 	ENST00000361567 	469 	1743 	469 	1743 	53 	53 
ENST00000570037 ENST00000562111 	ENST00000569248 ENST00000565813 	788 741 	1746 195 	788 741 	1746 195 	53 53 	53 53 
ENST00000603274 	ENST00000359635 ENST00000479203 ENST00000493512 ENST00000466304 ENST00000435618 ENST00000481283 ENST00000489762 ENST00000421349 ENST00000498484 ENST00000463832 	220 	43 2 21 30 87 2 21 71 2 21 	220 	43 2 21 30 87 2 21 71 2 21 	53 	53 53 53 53 53 53 53 53 53 53 
